Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,raw_data
1679948261.583912,1449,73061,0,GPS1_Frame,42.344476666666665,-71.08047333333333,0.0,0.0,328628.99685572006,4690120.465544418,20:17:41,19,T,
1679948262.2841687,1450,73062,0,GPS1_Frame,42.344445,-71.080425,20.200000762939453,1.5,328632.8922521841,4690116.851777711,20:17:42,19,T,
1679948262.5678244,1451,73062,0,GPS1_Frame,42.344445,-71.080425,0.0,0.0,328632.8922521841,4690116.851777711,20:17:42,19,T,
1679948263.2821226,1452,73063,0,GPS1_Frame,42.344413333333335,-71.08037666666667,20.200000762939453,1.5,328636.78765268915,4690113.238013307,20:17:43,19,T,
1679948263.5669813,1453,73063,0,GPS1_Frame,42.344413333333335,-71.08037666666667,0.0,0.0,328636.78765268915,4690113.238013307,20:17:43,19,T,
1679948264.2832193,1454,73064,0,GPS1_Frame,42.34437833333333,-71.080325,20.399999618530273,1.5,328640.9485830437,4690109.247391325,20:17:44,19,T,
1679948264.5671778,1455,73064,0,GPS1_Frame,42.34437833333333,-71.080325,0.0,0.0,328640.9485830437,4690109.247391325,20:17:44,19,T,
1679948265.2839978,1456,73065,0,GPS1_Frame,42.344345,-71.08027666666666,20.5,1.5,328644.8394638432,4690105.4485609485,20:17:45,19,T,
1679948266.0257986,1457,73065,0,GPS1_Frame,42.344345,-71.08027666666666,0.0,0.0,328644.8394638432,4690105.4485609485,20:17:45,19,T,
1679948266.2994456,1458,73066,0,GPS1_Frame,42.34431166666667,-71.08022833333334,20.600000381469727,1.5,328648.73034890206,4690101.649732879,20:17:46,19,T,
1679948266.5841541,1459,73066,0,GPS1_Frame,42.34431166666667,-71.08022833333334,0.0,0.0,328648.73034890206,4690101.649732879,20:17:46,19,T,
1679948267.2988553,1460,73067,0,GPS1_Frame,42.344278333333335,-71.08018,20.600000381469727,1.5,328652.62123821815,4690097.850907114,20:17:47,19,T,
1679948267.5839226,1461,73067,0,GPS1_Frame,42.344278333333335,-71.08018,0.0,0.0,328652.62123821815,4690097.850907114,20:17:47,19,T,
1679948268.3006308,1462,73068,0,GPS1_Frame,42.34424666666666,-71.08013166666667,20.799999237060547,1.5,328656.5166596181,4690094.237154387,20:17:48,19,T,
1679948268.5847914,1463,73068,0,GPS1_Frame,42.34424666666666,-71.08013166666667,0.0,0.0,328656.5166596181,4690094.237154387,20:17:48,19,T,
1679948269.283759,1464,73069,0,GPS1_Frame,42.344211666666666,-71.08008333333333,21.100000381469727,1.5,328660.40302963264,4690090.253262501,20:17:49,19,T,
1679948269.5681424,1465,73069,0,GPS1_Frame,42.344211666666666,-71.08008333333333,0.0,0.0,328660.40302963264,4690090.253262501,20:17:49,19,T,
1679948270.299764,1466,73070,0,GPS1_Frame,42.34417333333333,-71.08003333333333,21.700000762939453,1.5,328664.41764051985,4690085.895872741,20:17:50,19,T,
1679948271.042776,1467,73070,0,GPS1_Frame,42.34417333333333,-71.08003333333333,0.0,0.0,328664.41764051985,4690085.895872741,20:17:50,19,T,
1679948271.2990727,1468,73071,0,GPS1_Frame,42.34413333333333,-71.07997666666667,21.799999237060547,1.5,328668.9768957773,4690081.339980173,20:17:51,19,T,
1679948271.5838497,1469,73071,0,GPS1_Frame,42.34413333333333,-71.07997666666667,0.0,0.0,328668.9768957773,4690081.339980173,20:17:51,19,T,
1679948272.2998776,1470,73072,0,GPS1_Frame,42.34409,-71.079915,21.799999237060547,1.5,328673.9389777021,4690076.403873714,20:17:52,19,T,
1679948272.5846736,1471,73072,0,GPS1_Frame,42.34409,-71.079915,0.0,0.0,328673.9389777021,4690076.403873714,20:17:52,19,T,
1679948273.2845662,1472,73073,0,GPS1_Frame,42.34404333333333,-71.07985,21.700000762939453,1.5,328679.1665960808,4690071.0909127025,20:17:53,19,T,
1679948273.5687356,1473,73073,0,GPS1_Frame,42.34404333333333,-71.07985,0.0,0.0,328679.1665960808,4690071.0909127025,20:17:53,19,T,
1679948274.2824981,1474,73074,0,GPS1_Frame,42.34399833333333,-71.07978333333334,21.700000762939453,1.5,328684.5360415147,4690065.959668266,20:17:54,19,T,
1679948274.5665567,1475,73074,0,GPS1_Frame,42.34399833333333,-71.07978333333334,0.0,0.0,328684.5360415147,4690065.959668266,20:17:54,19,T,
1679948275.2825928,1476,73075,0,GPS1_Frame,42.34395333333333,-71.07971666666667,21.700000762939453,1.5,328689.9054948771,4690060.828428215,20:17:55,19,T,
1679948276.0237772,1477,73075,0,GPS1_Frame,42.34395333333333,-71.07971666666667,0.0,0.0,328689.9054948771,4690060.828428215,20:17:55,19,T,
1679948276.298129,1478,73076,0,GPS1_Frame,42.34390666666667,-71.07965,21.799999237060547,1.5,328695.27042942436,4690055.51212183,20:17:56,19,T,
1679948276.5824494,1479,73076,0,GPS1_Frame,42.34390666666667,-71.07965,0.0,0.0,328695.27042942436,4690055.51212183,20:17:56,19,T,
1679948277.2831347,1480,73077,0,GPS1_Frame,42.34385833333333,-71.07958166666667,21.700000762939453,1.5,328700.7681378975,4690050.007391124,20:17:57,19,T,
1679948277.5670762,1481,73077,0,GPS1_Frame,42.34385833333333,-71.07958166666667,0.0,0.0,328700.7681378975,4690050.007391124,20:17:57,19,T,
